Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Image URL
0,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,,Historical,Yes,2.6,Evening,https://images.unsplash.com/photo-1705861146215-893c716481e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxJbmRpYSUyMEdhdGV8ZW58MHx8fHwxNzI5MjQ0Mjc3fDA&ixlib=rb-4.0.3&q=80&w=400
1,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.0,4.5,30,Yes,,Historical,Yes,0.4,Afternoon,https://images.unsplash.com/photo-1646938691456-a03d01a8276a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxIdW1heXVuJTI3cyUyMFRvbWJ8ZW58MHx8fHwxNzI5MjQ0Mjc3fDA&ixlib=rb-4.0.3&q=80&w=400
2,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5.0,4.6,60,Yes,,Religious,No,0.4,Afternoon,https://images.unsplash.com/photo-1671137777317-877064fb882d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxBa3NoYXJkaGFtJTIwVGVtcGxlfGVufDB8fHx8MTcyOTI0NDI3OHww&ixlib=rb-4.0.3&q=80&w=400
3,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2.0,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,https://images.unsplash.com/photo-1686052903991-fedc0903ad4d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxXYXN0ZSUyMHRvJTIwV29uZGVyJTIwUGFya3xlbnwwfHx8fDE3MjkyNDQyNzl8MA&ixlib=rb-4.0.3&q=80&w=400
4,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2.0,4.2,15,Yes,,Scientific,Yes,0.31,Morning,https://images.unsplash.com/photo-1630042924275-ac0a9c2b0c8d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxKYW50YXIlMjBNYW50YXJ8ZW58MHx8fHwxNzI5MjQ0Mjc5fDA&ixlib=rb-4.0.3&q=80&w=400
5,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3.0,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,https://images.unsplash.com/photo-1662101875545-0b0cb8b7795b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDaGFuZG5pJTIwQ2hvd2t8ZW58MHx8fHwxNzI5MjQ0MjgwfDA&ixlib=rb-4.0.3&q=80&w=400
6,Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1.0,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,https://images.unsplash.com/photo-1705384766432-d77804736822?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxMb3R1cyUyMFRlbXBsZXxlbnwwfHx8fDE3MjkyNDQyODF8MA&ixlib=rb-4.0.3&q=80&w=400
7,Northern,Delhi,Delhi,Red Fort,Fort,1648,2.0,4.5,35,Yes,,Historical,Yes,1.5,Afternoon,https://images.unsplash.com/photo-1705861144413-f02e38354648?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxSZWQlMjBGb3J0fGVufDB8fHx8MTcyOTI0NDI4MXww&ixlib=rb-4.0.3&q=80&w=400
8,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1.0,4.2,0,Yes,,Historical,Yes,0.41,Afternoon,https://images.unsplash.com/photo-1728384236146-45d413522a91?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxBZ3Jhc2VuJTIwa2klMjBCYW9saXxlbnwwfHx8fDE3MjkyNDQyODJ8MA&ixlib=rb-4.0.3&q=80&w=400
9,Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2.0,4.6,0,Yes,,Botanical,Yes,0.16,Afternoon,https://images.unsplash.com/photo-1710743786016-17a934454432?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxTdW5kZXIlMjBOdXJzZXJ5fGVufDB8fHx8MTcyOTI0NDI4M3ww&ixlib=rb-4.0.3&q=80&w=400
10,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2.0,4.1,35,Yes,,Botanical,Yes,0.23,Morning,https://images.unsplash.com/photo-1534710961216-75c88202f43e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxHYXJkZW4lMjBvZiUyMEZpdmUlMjBTZW5zZXN8ZW58MHx8fHwxNzI5MjQ0MjgzfDA&ixlib=rb-4.0.3&q=80&w=400
11,Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1.0,4.5,0,Yes,,Botanical,Yes,0.48,All,https://images.unsplash.com/photo-1715633742355-f9d8322ca70e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxMb2RoaSUyMEdhcmRlbnxlbnwwfHx8fDE3MjkyNDQyODR8MA&ixlib=rb-4.0.3&q=80&w=400
12,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3.0,4.5,20,Yes,Monday,Artistic,Yes,0.08,All,https://images.unsplash.com/photo-1664892527229-0cb562a13775?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxOYXRpb25hbCUyMEdhbGxlcnklMjBvZiUyME1vZGVybiUyMEFydHxlbnwwfHx8fDE3MjkyNDQyODV8MA&ixlib=rb-4.0.3&q=80&w=400
13,Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3.0,4.1,80,Yes,Friday,Environmental,Yes,0.41,All,https://images.unsplash.com/photo-1510549086801-abcb351c6300?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxOYXRpb25hbCUyMFpvb2xvZ2ljYWwlMjBQYXJrJTIwfGVufDB8fHx8MTcyOTI0NDI4Nnww&ixlib=rb-4.0.3&q=80&w=400
14,Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1.0,4.5,35,Yes,,Historical,Yes,1.37,Afternoon,https://images.unsplash.com/photo-1686294137296-9f8a37300dfd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxRdXR1YiUyME1pbmFyfGVufDB8fHx8MTcyOTI0NDI4Nnww&ixlib=rb-4.0.3&q=80&w=400
15,Northern,Delhi,Delhi,National Science Centre,Science,1992,5.0,4.4,70,Yes,,Scientific,Yes,0.23,All,https://images.unsplash.com/photo-1486825586573-7131f7991bdd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxOYXRpb25hbCUyMFNjaWVuY2UlMjBDZW50cmV8ZW58MHx8fHwxNzI5MjQ0Mjg3fDA&ixlib=rb-4.0.3&q=80&w=400
16,Western,Maharastra,Mumbai,Marine Drive,Promenade,Unknown,2.0,4.5,0,Yes,,Scenic,Yes,1.5,Evening,https://images.unsplash.com/photo-1550235438-aa60f4d77517?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxNYXJpbmUlMjBEcml2ZXxlbnwwfHx8fDE3MjkyNDQyODd8MA&ixlib=rb-4.0.3&q=80&w=400
17,Western,Maharastra,Mumbai,Gateway of India,Monument,1924,1.0,4.6,0,Yes,,Historical,Yes,3.6,All,https://images.unsplash.com/photo-1558459393-10295ef6e62a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxHYXRld2F5JTIwb2YlMjBJbmRpYXxlbnwwfHx8fDE3MjkyNDQyODh8MA&ixlib=rb-4.0.3&q=80&w=400
