k,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Significance,Number of google review in lakhs,Best Time to visit,Image URL,Weighted Rating,Weighted Rating_normalize,Number of google review in lakhs_normalize,recommendations
Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3,4.5,Recreational,30000,Afternoon,https://images.unsplash.com/photo-1596201403089-d6cb29543f22?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxLYW5rYXJpYSUyMExha2V8ZW58MHx8fHwxNzI5MjQ1ODY1fDA&ixlib=rb-4.0.3&q=80&w=400,4.499999538,0.914285444,1,0.957142722
Western,Gujarat,Ahmedabad,Science City,Science,2002,7,4.4,Educational,11000,All,https://images.unsplash.com/photo-1670740309515-39d7628770f1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxTY2llbmNlJTIwQ2l0eXxlbnwwfHx8fDE3MjkyNDU4Njl8MA&ixlib=rb-4.0.3&q=80&w=400,4.400007831,0.914285397,0.48579161,0.700038504
Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1,4.4,Architectural,130000,Morning,https://images.unsplash.com/photo-1705861145876-2efd5e0392a5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxIYXdhJTIwTWFoYWx8ZW58MHx8fHwxNzI5MjQ1ODczfDA&ixlib=rb-4.0.3&q=80&w=400,4.400000663,0.914285363,0.350473613,0.632379488
Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,Historical,260000,Evening,https://images.unsplash.com/photo-1705861146215-893c716481e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxJbmRpYSUyMEdhdGV8ZW58MHx8fHwxNzI5MjQ0Mjc3fDA&ixlib=rb-4.0.3&q=80&w=400,4.599999562,1,0.255751015,0.627875507
Northern,Rajasthan,Udaipur,City Palace,Palace,1559,2,4.4,Historical,51000,All,https://images.unsplash.com/photo-1715405155995-61757307e065?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDaXR5JTIwUGFsYWNlfGVufDB8fHx8MTcyOTI0NTg3OHww&ixlib=rb-4.0.3&q=80&w=400,4.400001689,0.914285358,0.336941813,0.625613585
Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2,4.1,Environmental,27000,Evening,https://images.unsplash.com/photo-1686052903991-fedc0903ad4d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxXYXN0ZSUyMHRvJTIwV29uZGVyJTIwUGFya3xlbnwwfHx8fDE3MjkyNDQyNzl8MA&ixlib=rb-4.0.3&q=80&w=400,4.100014301,0.971428462,0.269282815,0.620355639
Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,1156,2.5,4.4,Historical,56000,All,https://images.unsplash.com/photo-1677251485396-2521e67eede1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxKYWlzYWxtZXIlMjBGb3J0fGVufDB8fHx8MTcyOTI0NTg4Mnww&ixlib=rb-4.0.3&q=80&w=400,4.400001538,0.914285343,0.303112314,0.608698829
Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1,4.4,Nature,132000,Morning,https://images.unsplash.com/photo-1648994176530-f2821a75e45a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDdWJib24lMjBQYXJrfGVufDB8fHx8MTcyOTI0NDI5N3ww&ixlib=rb-4.0.3&q=80&w=400,4.400000653,0.94285686,0.242219215,0.592538037
Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,Unknown,1,4.5,Nature,1000,Morning,https://images.unsplash.com/photo-1533811668780-8d4ddf8a31e8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxEaHVhbmRoYXIlMjBGYWxsc3xlbnwwfHx8fDE3MjkyNTAzNTN8MA&ixlib=rb-4.0.3&q=80&w=400,4.499986168,0.885713758,0.296346414,0.591030086
Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1400,1.5,4.4,Religious,160000,All,https://images.unsplash.com/photo-1714455159641-00277fe9a2a8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxQdXNoa2FyJTIwTGFrZXxlbnwwfHx8fDE3MjkyNDU4OTB8MA&ixlib=rb-4.0.3&q=80&w=400,4.400000538,0.914285317,0.255751015,0.585018166
Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,1980,3,4.6,Wildlife,9000,All,https://images.unsplash.com/photo-1565970112373-9d89e93618f9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxSYW50aGFtYm9yZSUyME5hdGlvbmFsJTIwUGFya3xlbnwwfHx8fDE3MjkyNDU4ODZ8MA&ixlib=rb-4.0.3&q=80&w=400,4.599987352,0.914285317,0.255751015,0.585018166
Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,Unknown,1.5,4.6,Nature,6500,Morning,https://images.unsplash.com/photo-1655001296722-7d79b036086e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxCZWUlMjBGYWxsc3xlbnwwfHx8fDE3MjkyNTAzNTR8MA&ixlib=rb-4.0.3&q=80&w=400,4.599982488,0.885713757,0.282814614,0.584264186
Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2,4.2,Scientific,31000,Morning,https://images.unsplash.com/photo-1630042924275-ac0a9c2b0c8d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxKYW50YXIlMjBNYW50YXJ8ZW58MHx8fHwxNzI5MjQ0Mjc5fDA&ixlib=rb-4.0.3&q=80&w=400,4.20000923,0.971428164,0.161028417,0.56622829
